,SP500
1996-06-24,668.85
1996-06-25,668.48
1996-06-26,664.39
1996-06-27,668.55
1996-06-28,670.63
1996-07-01,675.88
1996-07-02,673.61
1996-07-03,672.40
1996-07-05,657.44
1996-07-08,652.54
1996-07-09,654.75
1996-07-10,656.06
1996-07-11,645.67
1996-07-12,646.19
1996-07-15,629.80
1996-07-16,628.37
1996-07-17,634.07
1996-07-18,643.56
1996-07-19,638.73
1996-07-22,633.77
1996-07-23,626.87
1996-07-24,626.65
1996-07-25,631.17
1996-07-26,635.90
1996-07-29,630.91
1996-07-30,635.26
1996-07-31,639.95
1996-08-01,650.02
1996-08-02,662.49
1996-08-05,660.23
1996-08-06,662.38
1996-08-07,664.16
1996-08-08,662.59
1996-08-09,662.10
1996-08-12,665.77
1996-08-13,660.20
1996-08-14,662.05
1996-08-15,662.28
1996-08-16,665.21
1996-08-19,666.58
1996-08-20,665.69
1996-08-21,665.07
1996-08-22,670.68
1996-08-23,667.03
1996-08-26,663.88
1996-08-27,666.40
1996-08-28,664.81
1996-08-29,657.40
1996-08-30,651.99
1996-09-03,654.72
1996-09-04,655.61
1996-09-05,649.44
1996-09-06,655.68
1996-09-09,663.76
1996-09-10,663.81
1996-09-11,667.28
1996-09-12,671.15
1996-09-13,680.54
1996-09-16,683.98
1996-09-17,682.94
1996-09-18,681.47
1996-09-19,683.00
1996-09-20,687.03
1996-09-23,686.48
1996-09-24,685.61
1996-09-25,685.83
1996-09-26,685.86
1996-09-27,686.19
1996-09-30,687.31
1996-10-01,689.08
1996-10-02,694.01
1996-10-03,692.78
1996-10-04,701.46
1996-10-07,703.34
1996-10-08,700.64
1996-10-09,696.74
1996-10-10,694.61
1996-10-11,700.66
1996-10-14,703.54
1996-10-15,702.57
1996-10-16,704.41
1996-10-17,706.99
1996-10-18,710.82
1996-10-21,709.85
1996-10-22,706.57
1996-10-23,707.27
1996-10-24,702.29
1996-10-25,700.92
1996-10-28,697.26
1996-10-29,701.50
1996-10-30,700.90
1996-10-31,705.27
1996-11-01,703.77
1996-11-04,706.73
1996-11-05,714.14
1996-11-06,724.59
1996-11-07,727.65
1996-11-08,730.82
1996-11-11,731.87
1996-11-12,729.56
1996-11-13,731.13
1996-11-14,735.88
1996-11-15,737.62
1996-11-18,737.02
1996-11-19,742.16
1996-11-20,743.95
1996-11-21,742.75
1996-11-22,748.73
1996-11-25,757.03
1996-11-26,755.96
1996-11-27,755.00
1996-11-29,757.02
1996-12-02,756.56
1996-12-03,748.28
1996-12-04,745.10
1996-12-05,744.38
1996-12-06,739.60
1996-12-09,749.81
1996-12-10,747.54
1996-12-11,740.73
1996-12-12,729.33
1996-12-13,728.64
1996-12-16,720.98
1996-12-17,726.04
1996-12-18,731.54
1996-12-19,745.76
1996-12-20,748.87
1996-12-23,746.92
1996-12-24,751.03
1996-12-26,755.82
1996-12-27,756.79
1996-12-30,753.85
1996-12-31,740.74
1997-01-02,737.01
1997-01-03,748.03
1997-01-06,747.65
1997-01-07,753.23
1997-01-08,748.41
1997-01-09,754.85
1997-01-10,759.50
1997-01-13,759.51
1997-01-14,768.86
1997-01-15,767.20
1997-01-16,769.75
1997-01-17,776.17
1997-01-20,776.70
1997-01-21,782.72
1997-01-22,786.23
1997-01-23,777.56
1997-01-24,770.52
1997-01-27,765.02
1997-01-28,765.02
1997-01-29,772.50
1997-01-30,784.17
1997-01-31,786.16
1997-02-03,786.73
1997-02-04,789.26
1997-02-05,778.28
1997-02-06,780.15
1997-02-07,789.56
1997-02-10,785.43
1997-02-11,789.59
1997-02-12,802.77
1997-02-13,811.82
1997-02-14,808.48
1997-02-18,816.29
1997-02-19,812.49
1997-02-20,802.80
1997-02-21,801.77
1997-02-24,810.28
1997-02-25,812.10
1997-02-26,805.68
1997-02-27,795.07
1997-02-28,790.82
1997-03-03,795.31
1997-03-04,790.95
1997-03-05,801.99
1997-03-06,798.56
1997-03-07,804.97
1997-03-10,813.65
1997-03-11,811.34
1997-03-12,804.26
1997-03-13,789.56
1997-03-14,793.17
1997-03-17,795.71
1997-03-18,789.66
1997-03-19,785.77
1997-03-20,782.65
1997-03-21,784.10
1997-03-24,790.89
1997-03-25,789.07
1997-03-26,790.50
1997-03-27,773.88
1997-03-31,757.12
1997-04-01,759.64
1997-04-02,750.11
1997-04-03,750.32
1997-04-04,757.90
1997-04-07,762.13
1997-04-08,766.12
1997-04-09,760.60
1997-04-10,758.34
1997-04-11,737.65
1997-04-14,743.73
1997-04-15,754.72
1997-04-16,763.53
1997-04-17,761.77
1997-04-18,766.34
1997-04-21,760.37
1997-04-22,774.61
1997-04-23,773.64
1997-04-24,771.18
1997-04-25,765.37
1997-04-28,772.96
1997-04-29,794.05
1997-04-30,801.34
1997-05-01,798.53
1997-05-02,812.97
1997-05-05,830.24
1997-05-06,827.76
1997-05-07,815.62
1997-05-08,820.26
1997-05-09,824.78
1997-05-12,837.66
1997-05-13,833.13
1997-05-14,836.04
1997-05-15,841.88
1997-05-16,829.75
1997-05-19,833.27
1997-05-20,841.66
1997-05-21,839.35
1997-05-22,835.66
1997-05-23,847.03
1997-05-27,849.71
1997-05-28,847.21
1997-05-29,844.08
1997-05-30,848.28
1997-06-02,846.36
1997-06-03,845.48
1997-06-04,840.11
1997-06-05,843.43
1997-06-06,858.01
1997-06-09,862.91
1997-06-10,865.27
1997-06-11,869.57
1997-06-12,883.48
1997-06-13,893.27
1997-06-16,893.90
1997-06-17,894.42
1997-06-18,889.06
1997-06-19,897.99
1997-06-20,898.70
1997-06-23,878.62
1997-06-24,896.34
1997-06-25,888.99
1997-06-26,883.68
1997-06-27,887.30
1997-06-30,885.14
1997-07-01,891.03
1997-07-02,904.03
1997-07-03,916.92
1997-07-07,912.20
1997-07-08,918.75
1997-07-09,907.54
1997-07-10,913.78
1997-07-11,916.68
1997-07-14,918.38
1997-07-15,925.76
1997-07-16,936.59
1997-07-17,931.61
1997-07-18,915.30
1997-07-21,912.94
1997-07-22,933.98
1997-07-23,936.56
1997-07-24,940.30
1997-07-25,938.79
1997-07-28,936.45
1997-07-29,942.29
1997-07-30,952.29
1997-07-31,954.29
1997-08-01,947.14
1997-08-04,950.30
1997-08-05,952.37
1997-08-06,960.32
1997-08-07,951.19
1997-08-08,933.54
1997-08-11,937.00
1997-08-12,926.53
1997-08-13,922.02
1997-08-14,924.77
1997-08-15,900.81
1997-08-18,912.49
1997-08-19,926.01
1997-08-20,939.35
1997-08-21,925.05
1997-08-22,923.55
1997-08-25,920.16
1997-08-26,913.02
1997-08-27,913.70
1997-08-28,903.67
1997-08-29,899.47
1997-09-02,927.58
1997-09-03,927.86
1997-09-04,930.87
1997-09-05,929.05
1997-09-08,931.20
1997-09-09,933.62
1997-09-10,919.03
1997-09-11,912.59
1997-09-12,923.91
1997-09-15,919.77
1997-09-16,945.64
1997-09-17,943.00
1997-09-18,947.29
1997-09-19,950.51
1997-09-22,955.43
1997-09-23,951.93
1997-09-24,944.48
1997-09-25,937.91
1997-09-26,945.22
1997-09-29,953.34
1997-09-30,947.28
1997-10-01,955.41
1997-10-02,960.46
1997-10-03,965.03
1997-10-06,972.69
1997-10-07,983.12
1997-10-08,973.84
1997-10-09,970.62
1997-10-10,966.98
1997-10-13,968.10
1997-10-14,970.28
1997-10-15,965.72
1997-10-16,955.23
1997-10-17,944.16
1997-10-20,955.61
1997-10-21,972.28
1997-10-22,968.49
1997-10-23,950.69
1997-10-24,941.64
1997-10-27,876.99
1997-10-28,921.85
1997-10-29,919.16
1997-10-30,903.68
1997-10-31,914.62
1997-11-03,938.99
1997-11-04,940.76
1997-11-05,942.76
1997-11-06,938.03
1997-11-07,927.51
1997-11-10,921.13
1997-11-11,923.78
1997-11-12,905.96
1997-11-13,916.66
1997-11-14,928.35
1997-11-17,946.20
1997-11-18,938.23
1997-11-19,944.59
1997-11-20,958.98
1997-11-21,963.09
1997-11-24,946.67
1997-11-25,950.82
1997-11-26,951.64
1997-11-28,955.40
1997-12-01,974.78
1997-12-02,971.68
1997-12-03,976.77
1997-12-04,973.10
1997-12-05,983.79
1997-12-08,982.37
1997-12-09,975.78
1997-12-10,969.79
1997-12-11,954.94
1997-12-12,953.39
1997-12-15,963.39
1997-12-16,968.04
1997-12-17,965.54
